Date,Opponent,Time,D/N,Attendance,Capacity,Percent Attendance
4/5/2019,LAD,3:52,D,48404,50144,96.53
4/6/2019,LAD,3:19,N,47880,50144,95.49
4/7/2019,LAD,3:52,N,41232,50144,82.23
4/8/2019,ATL,2:59,N,25199,50144,50.25
4/9/2019,ATL,3:12,N,26124,50144,52.10
4/18/2019,PHI,3:03,N,27562,50144,54.97
4/19/2019,PHI,4:26,N,35423,50144,70.64
4/20/2019,PHI,3:25,N,40530,50144,80.83
4/21/2019,PHI,2:58,D,28287,50144,56.41
4/22/2019,WSN,3:00,N,20517,50144,40.92
4/23/2019,WSN,3:14,N,24456,50144,48.77
4/24/2019,WSN,2:48,D,33135,50144,66.08
5/3/2019,ARI,3:24,N,29574,50144,58.98
5/4/2019,ARI,2:51,N,37765,50144,75.31
5/5/2019,ARI,3:09,D,40262,50144,80.29
5/7/2019,SFG,3:23,N,21707,50144,43.29
5/9/2019,SFG,3:56,D,25368,50144,50.59
5/10/2019,SDP,3:10,N,27594,50144,55.03
5/11/2019,SDP,3:05,N,37118,50144,74.02
5/12/2019,SDP,3:06,D,40234,50144,80.24
5/24/2019,BAL,3:17,N,32397,50144,64.61
5/25/2019,BAL,3:12,N,41239,50144,82.24
5/26/2019,BAL,3:28,D,46815,50144,93.36
5/27/2019,ARI,4:23,D,35604,50144,71.00
5/28/2019,ARI,3:02,N,21583,50144,43.04
5/29/2019,ARI,3:11,N,24261,50144,48.38
5/30/2019,ARI,3:51,D,30371,50144,60.57
5/31/2019,TOR,3:10,N,32990,50144,65.79
6/1/2019,TOR,2:28,N,34025,50144,67.85
6/2/2019,TOR,2:43,D,37861,50144,75.50
6/10/2019,CHC,2:51,N,44859,50144,89.46
6/11/2019,CHC,3:10,N,43126,50144,86.00
6/12/2019,CHC,2:57,D,47412,50144,94.55
6/13/2019,SDP,3:26,N,35504,50144,70.80
6/14/2019,SDP,5:04,N,38077,50144,75.94
6/15/2019,SDP,3:39,N,46133,50144,92.00
6/16/2019,SDP,3:31,D,47526,50144,94.78
6/27/2019,LAD,3:32,N,47452,50144,94.63
6/28/2019,LAD,3:31,N,46065,50144,91.87
6/29/2019,LAD,2:43,N,48101,50144,95.93
6/30/2019,LAD,4:01,D,47713,50144,95.15
7/2/2019,HOU,3:27,N,47864,50144,95.45
7/3/2019,HOU,2:41,N,48308,50144,96.34
7/12/2019,CIN,2:40,N,41368,50144,82.50
7/13/2019,CIN,3:53,N,43650,50144,87.05
7/14/2019,CIN,3:05,D,40624,50144,81.01
7/15/2019,SFG,3:15,D,26434,50144,52.72
7/15/2019,SFG,2:42,N,34424,50144,68.65
7/16/2019,SFG,3:33,N,47413,50144,94.55
7/17/2019,SFG,3:28,D,40157,50144,80.08
7/29/2019,LAD,2:51,N,43574,50144,86.90
7/30/2019,LAD,3:12,N,45300,50144,90.34
7/31/2019,LAD,3:05,D,42025,50144,83.81
8/2/2019,SFG,2:50,N,40672,50144,81.11
8/3/2019,SFG,3:42,N,47540,50144,94.81
8/4/2019,SFG,2:52,D,40084,50144,79.94
8/12/2019,ARI,3:30,N,32160,50144,64.14
8/13/2019,ARI,3:32,N,31815,50144,63.45
8/14/2019,ARI,3:25,D,32247,50144,64.31
8/16/2019,MIA,2:12,N,35018,50144,69.83
8/17/2019,MIA,3:08,N,40199,50144,80.17
8/18/2019,MIA,3:57,D,38181,50144,76.14
8/26/2019,ATL,3:27,D,29803,50144,59.43
8/27/2019,BOS,3:32,N,44101,50144,87.95
8/28/2019,BOS,3:48,N,40801,50144,81.37
8/29/2019,PIT,3:14,N,33408,50144,66.62
8/30/2019,PIT,3:18,N,27789,50144,55.42
8/31/2019,PIT,3:26,N,37293,50144,74.37
9/1/2019,PIT,3:19,D,32685,50144,65.18
9/10/2019,STL,2:36,N,31514,50144,62.85
9/11/2019,STL,3:01,N,31931,50144,63.68
9/12/2019,STL,3:56,D,27618,50144,55.08
9/13/2019,SDP,3:28,N,31654,50144,63.13
9/14/2019,SDP,3:29,N,47370,50144,94.47
9/15/2019,SDP,3:44,D,30699,50144,61.22
9/16/2019,NYM,3:09,N,28505,50144,56.85
9/17/2019,NYM,2:50,N,33118,50144,66.05
9/18/2019,NYM,3:43,D,30174,50144,60.17
9/27/2019,MIL,3:33,N,44087,50144,87.92
9/28/2019,MIL,3:00,N,47381,50144,94.49
9/29/2019,MIL,4:02,D,36771,50144,73.33
