Date,Opponent,Result,Runs Scored,Runs Against,Wins,Losses,Time
4/5/2019,LAD,L,6,10,3,5,3:52
4/6/2019,LAD,L,2,7,3,6,3:19
4/7/2019,LAD,L,6,12,3,7,3:52
4/8/2019,ATL,L,6,8,3,8,2:59
4/9/2019,ATL,L,1,7,3,9,3:12
4/18/2019,PHI,W,6,2,7,12,3:03
4/19/2019,PHI,W,4,3,8,12,4:26
4/20/2019,PHI,L,5,8,8,13,3:25
4/21/2019,PHI,W,4,1,9,13,2:58
4/22/2019,WSN,W,7,5,10,13,3:00
4/23/2019,WSN,L,3,6,10,14,3:14
4/24/2019,WSN,W,9,5,11,14,2:48
5/3/2019,ARI,L,9,10,15,18,3:24
5/4/2019,ARI,L,2,9,15,19,2:51
5/5/2019,ARI,W,8,7,16,19,3:09
5/7/2019,SFG,L,4,14,16,20,3:23
5/9/2019,SFG,W,12,11,17,20,3:56
5/10/2019,SDP,W,12,2,18,20,3:10
5/11/2019,SDP,L,3,4,18,21,3:05
5/12/2019,SDP,W,10,7,19,21,3:06
5/24/2019,BAL,W,8,6,23,26,3:17
5/25/2019,BAL,L,6,9,23,27,3:12
5/26/2019,BAL,W,8,7,24,27,3:28
5/27/2019,ARI,W,4,3,25,27,4:23
5/28/2019,ARI,W,6,2,26,27,3:02
5/29/2019,ARI,W,5,4,27,27,3:11
5/30/2019,ARI,W,11,10,28,27,3:51
5/31/2019,TOR,W,13,6,29,27,3:10
6/1/2019,TOR,W,4,2,30,27,2:28
6/2/2019,TOR,W,5,1,31,27,2:43
6/10/2019,CHC,W,6,5,34,31,2:51
6/11/2019,CHC,W,10,3,35,31,3:10
6/12/2019,CHC,L,1,10,35,32,2:57
6/13/2019,SDP,W,9,6,36,32,3:26
6/14/2019,SDP,L,12,16,36,33,5:04
6/15/2019,SDP,W,14,8,37,33,3:39
6/16/2019,SDP,L,13,14,37,34,3:31
6/27/2019,LAD,L,8,12,42,39,3:32
6/28/2019,LAD,W,13,9,43,39,3:31
6/29/2019,LAD,W,5,3,44,39,2:43
6/30/2019,LAD,L,5,10,44,40,4:01
7/2/2019,HOU,L,8,9,44,41,3:27
7/3/2019,HOU,L,2,4,44,42,2:41
7/12/2019,CIN,W,3,2,45,45,2:40
7/13/2019,CIN,L,9,17,45,46,3:53
7/14/2019,CIN,W,10,9,46,46,3:05
7/15/2019,SFG,L,2,19,46,47,3:15
7/15/2019,SFG,L,1,2,46,48,2:42
7/16/2019,SFG,L,4,8,46,49,3:33
7/17/2019,SFG,L,8,11,46,50,3:28
7/29/2019,LAD,W,9,1,50,57,2:51
7/30/2019,LAD,L,4,9,50,58,3:12
7/31/2019,LAD,L,1,5,50,59,3:05
8/2/2019,SFG,W,5,4,51,59,2:50
8/3/2019,SFG,L,5,6,51,60,3:42
8/4/2019,SFG,W,6,2,52,60,2:52
8/12/2019,ARI,L,6,8,53,66,3:30
8/13/2019,ARI,L,3,9,53,67,3:32
8/14/2019,ARI,W,7,6,54,67,3:25
8/16/2019,MIA,W,3,0,55,67,2:12
8/17/2019,MIA,W,11,4,56,67,3:08
8/18/2019,MIA,W,7,6,57,67,3:57
8/26/2019,ATL,W,3,1,59,73,3:27
8/27/2019,BOS,L,6,10,59,74,3:32
8/28/2019,BOS,L,4,7,59,75,3:48
8/29/2019,PIT,L,8,11,59,76,3:14
8/30/2019,PIT,L,4,9,59,77,3:18
8/31/2019,PIT,L,4,11,59,78,3:26
9/1/2019,PIT,L,2,6,59,79,3:19
9/10/2019,STL,W,2,1,61,84,2:36
9/11/2019,STL,W,2,1,62,84,3:01
9/12/2019,STL,L,3,10,62,85,3:56
9/13/2019,SDP,W,10,8,63,85,3:28
9/14/2019,SDP,W,11,10,64,85,3:29
9/15/2019,SDP,W,10,5,65,85,3:44
9/16/2019,NYM,W,9,4,66,85,3:09
9/17/2019,NYM,L,1,6,66,86,2:50
9/18/2019,NYM,L,4,7,66,87,3:43
9/27/2019,MIL,W,11,7,69,91,3:33
9/28/2019,MIL,W,3,2,70,91,3:00
9/29/2019,MIL,W,4,3,71,91,4:02
