"surr_key";"Date";"Opponent";"Attendance";"Capacity";"Percent Attendance"
1;"4/5/2019";"LAD";48404;50144;96.53
2;"4/6/2019";"LAD";47880;50144;95.49
3;"4/7/2019";"LAD";41232;50144;82.23
4;"4/8/2019";"ATL";25199;50144;50.25
5;"4/9/2019";"ATL";26124;50144;52.1
6;"4/18/2019";"PHI";27562;50144;54.97
7;"4/19/2019";"PHI";35423;50144;70.64
8;"4/20/2019";"PHI";40530;50144;80.83
9;"4/21/2019";"PHI";28287;50144;56.41
10;"4/22/2019";"WSN";20517;50144;40.92
11;"4/23/2019";"WSN";24456;50144;48.77
12;"4/24/2019";"WSN";33135;50144;66.08
13;"5/3/2019";"ARI";29574;50144;58.98
14;"5/4/2019";"ARI";37765;50144;75.31
15;"5/5/2019";"ARI";40262;50144;80.29
16;"5/7/2019";"SFG";21707;50144;43.29
17;"5/9/2019";"SFG";25368;50144;50.59
18;"5/10/2019";"SDP";27594;50144;55.03
19;"5/11/2019";"SDP";37118;50144;74.02
20;"5/12/2019";"SDP";40234;50144;80.24
21;"5/24/2019";"BAL";32397;50144;64.61
22;"5/25/2019";"BAL";41239;50144;82.24
23;"5/26/2019";"BAL";46815;50144;93.36
24;"5/27/2019";"ARI";35604;50144;71.0
25;"5/28/2019";"ARI";21583;50144;43.04
26;"5/29/2019";"ARI";24261;50144;48.38
27;"5/30/2019";"ARI";30371;50144;60.57
28;"5/31/2019";"TOR";32990;50144;65.79
29;"6/1/2019";"TOR";34025;50144;67.85
30;"6/2/2019";"TOR";37861;50144;75.5
31;"6/10/2019";"CHC";44859;50144;89.46
32;"6/11/2019";"CHC";43126;50144;86.0
33;"6/12/2019";"CHC";47412;50144;94.55
34;"6/13/2019";"SDP";35504;50144;70.8
35;"6/14/2019";"SDP";38077;50144;75.94
36;"6/15/2019";"SDP";46133;50144;92.0
37;"6/16/2019";"SDP";47526;50144;94.78
38;"6/27/2019";"LAD";47452;50144;94.63
39;"6/28/2019";"LAD";46065;50144;91.87
40;"6/29/2019";"LAD";48101;50144;95.93
41;"6/30/2019";"LAD";47713;50144;95.15
42;"7/2/2019";"HOU";47864;50144;95.45
43;"7/3/2019";"HOU";48308;50144;96.34
44;"7/12/2019";"CIN";41368;50144;82.5
45;"7/13/2019";"CIN";43650;50144;87.05
46;"7/14/2019";"CIN";40624;50144;81.01
47;"7/15/2019";"SFG";26434;50144;52.72
48;"7/15/2019";"SFG";34424;50144;68.65
49;"7/16/2019";"SFG";47413;50144;94.55
50;"7/17/2019";"SFG";40157;50144;80.08
51;"7/29/2019";"LAD";43574;50144;86.9
52;"7/30/2019";"LAD";45300;50144;90.34
53;"7/31/2019";"LAD";42025;50144;83.81
54;"8/2/2019";"SFG";40672;50144;81.11
55;"8/3/2019";"SFG";47540;50144;94.81
56;"8/4/2019";"SFG";40084;50144;79.94
57;"8/12/2019";"ARI";32160;50144;64.14
58;"8/13/2019";"ARI";31815;50144;63.45
59;"8/14/2019";"ARI";32247;50144;64.31
60;"8/16/2019";"MIA";35018;50144;69.83
61;"8/17/2019";"MIA";40199;50144;80.17
62;"8/18/2019";"MIA";38181;50144;76.14
63;"8/26/2019";"ATL";29803;50144;59.43
64;"8/27/2019";"BOS";44101;50144;87.95
65;"8/28/2019";"BOS";40801;50144;81.37
66;"8/29/2019";"PIT";33408;50144;66.62
67;"8/30/2019";"PIT";27789;50144;55.42
68;"8/31/2019";"PIT";37293;50144;74.37
69;"9/1/2019";"PIT";32685;50144;65.18
70;"9/10/2019";"STL";31514;50144;62.85
71;"9/11/2019";"STL";31931;50144;63.68
72;"9/12/2019";"STL";27618;50144;55.08
73;"9/13/2019";"SDP";31654;50144;63.13
74;"9/14/2019";"SDP";47370;50144;94.47
75;"9/15/2019";"SDP";30699;50144;61.22
76;"9/16/2019";"NYM";28505;50144;56.85
77;"9/17/2019";"NYM";33118;50144;66.05
78;"9/18/2019";"NYM";30174;50144;60.17
79;"9/27/2019";"MIL";44087;50144;87.92
80;"9/28/2019";"MIL";47381;50144;94.49
81;"9/29/2019";"MIL";36771;50144;73.33
