"surr_key";"Date";"Opponent";"Result";"Runs Scored";"Runs Against"
1;"4/5/2019";"LAD";"L";6;10
2;"4/6/2019";"LAD";"L";2;7
3;"4/7/2019";"LAD";"L";6;12
4;"4/8/2019";"ATL";"L";6;8
5;"4/9/2019";"ATL";"L";1;7
6;"4/18/2019";"PHI";"W";6;2
7;"4/19/2019";"PHI";"W";4;3
8;"4/20/2019";"PHI";"L";5;8
9;"4/21/2019";"PHI";"W";4;1
10;"4/22/2019";"WSN";"W";7;5
11;"4/23/2019";"WSN";"L";3;6
12;"4/24/2019";"WSN";"W";9;5
13;"5/3/2019";"ARI";"L";9;10
14;"5/4/2019";"ARI";"L";2;9
15;"5/5/2019";"ARI";"W";8;7
16;"5/7/2019";"SFG";"L";4;14
17;"5/9/2019";"SFG";"W";12;11
18;"5/10/2019";"SDP";"W";12;2
19;"5/11/2019";"SDP";"L";3;4
20;"5/12/2019";"SDP";"W";10;7
21;"5/24/2019";"BAL";"W";8;6
22;"5/25/2019";"BAL";"L";6;9
23;"5/26/2019";"BAL";"W";8;7
24;"5/27/2019";"ARI";"W";4;3
25;"5/28/2019";"ARI";"W";6;2
26;"5/29/2019";"ARI";"W";5;4
27;"5/30/2019";"ARI";"W";11;10
28;"5/31/2019";"TOR";"W";13;6
29;"6/1/2019";"TOR";"W";4;2
30;"6/2/2019";"TOR";"W";5;1
31;"6/10/2019";"CHC";"W";6;5
32;"6/11/2019";"CHC";"W";10;3
33;"6/12/2019";"CHC";"L";1;10
34;"6/13/2019";"SDP";"W";9;6
35;"6/14/2019";"SDP";"L";12;16
36;"6/15/2019";"SDP";"W";14;8
37;"6/16/2019";"SDP";"L";13;14
38;"6/27/2019";"LAD";"L";8;12
39;"6/28/2019";"LAD";"W";13;9
40;"6/29/2019";"LAD";"W";5;3
41;"6/30/2019";"LAD";"L";5;10
42;"7/2/2019";"HOU";"L";8;9
43;"7/3/2019";"HOU";"L";2;4
44;"7/12/2019";"CIN";"W";3;2
45;"7/13/2019";"CIN";"L";9;17
46;"7/14/2019";"CIN";"W";10;9
47;"7/15/2019";"SFG";"L";2;19
48;"7/15/2019";"SFG";"L";1;2
49;"7/16/2019";"SFG";"L";4;8
50;"7/17/2019";"SFG";"L";8;11
51;"7/29/2019";"LAD";"W";9;1
52;"7/30/2019";"LAD";"L";4;9
53;"7/31/2019";"LAD";"L";1;5
54;"8/2/2019";"SFG";"W";5;4
55;"8/3/2019";"SFG";"L";5;6
56;"8/4/2019";"SFG";"W";6;2
57;"8/12/2019";"ARI";"L";6;8
58;"8/13/2019";"ARI";"L";3;9
59;"8/14/2019";"ARI";"W";7;6
60;"8/16/2019";"MIA";"W";3;0
61;"8/17/2019";"MIA";"W";11;4
62;"8/18/2019";"MIA";"W";7;6
63;"8/26/2019";"ATL";"W";3;1
64;"8/27/2019";"BOS";"L";6;10
65;"8/28/2019";"BOS";"L";4;7
66;"8/29/2019";"PIT";"L";8;11
67;"8/30/2019";"PIT";"L";4;9
68;"8/31/2019";"PIT";"L";4;11
69;"9/1/2019";"PIT";"L";2;6
70;"9/10/2019";"STL";"W";2;1
71;"9/11/2019";"STL";"W";2;1
72;"9/12/2019";"STL";"L";3;10
73;"9/13/2019";"SDP";"W";10;8
74;"9/14/2019";"SDP";"W";11;10
75;"9/15/2019";"SDP";"W";10;5
76;"9/16/2019";"NYM";"W";9;4
77;"9/17/2019";"NYM";"L";1;6
78;"9/18/2019";"NYM";"L";4;7
79;"9/27/2019";"MIL";"W";11;7
80;"9/28/2019";"MIL";"W";3;2
81;"9/29/2019";"MIL";"W";4;3
